code,hl,name
af,af,Afrikaans
am,af,Amharies
ar,af,Arabies
as,af,Assamees
az,af,Azerbeidjans
be,af,Belarussies
bg,af,Bulgaars
bn,af,Bengaals
bs,af,Bosnies
ca,af,Katalaans
cs,af,Tsjeggies
da,af,Deens
de,af,Duits
el,af,Grieks
en-GB,af,Engels (Verenigde Koninkryk)
en-IN,af,Engels (Indië)
en,af,Engels
es,af,Spaans
es-419,af,Spaans (Latyns-Amerika)
es-US,af,Spaans (Verenigde State van Amerika)
et,af,Estnies
eu,af,Baskies
fa,af,Persies
fi,af,Fins
fil,af,Filippyns
fr-CA,af,Frans (Kanada)
fr,af,Frans
gl,af,Galisies
gu,af,Goedjarati
hi,af,Hindi
hr,af,Kroaties
hu,af,Hongaars
hy,af,Armeens
id,af,Indonesies
is,af,Yslands
it,af,Italiaans
iw,af,Hebreeus
ja,af,Japannees
ka,af,Georgies
kk,af,Kazaks
km,af,Khmer
kn,af,Kannada
ko,af,Koreaans
ky,af,Kirgisies
lo,af,Lao
lt,af,Litaus
lv,af,Letties
mk,af,Masedonies
ml,af,Malabaars
mn,af,Mongools
mr,af,Marathi
ms,af,Maleis
my,af,Birmaans
no,af,Noors
ne,af,Nepalees
nl,af,Nederlands
or,af,Oriya
pa,af,Pandjabi
pl,af,Pools
pt,af,Portugees
pt-PT,af,Portugees (Portugal)
ro,af,Roemeens
ru,af,Russies
si,af,Sinhala
sk,af,Slowaaks
sl,af,Sloweens
sq,af,Albanees
sr-Latn,af,Serwies (Latyn)
sr,af,Serwies
sv,af,Sweeds
sw,af,Swahili
ta,af,Tamil
te,af,Teloegoe
th,af,Thai
tr,af,Turks
uk,af,Oekraïens
ur,af,Oerdoe
uz,af,Oezbeeks
vi,af,Viëtnamees
zh-CN,af,Chinees (China)
zh-HK,af,Chinees (Hongkong)
zh-TW,af,Chinees (Taiwan)
zu,af,Zoeloe
af,am,አፍሪካንኛ
am,am,አማርኛ
ar,am,ዓረብኛ
as,am,አሳሜዛዊ
az,am,አዘርባጃንኛ
be,am,ቤላራሻኛ
bg,am,ቡልጋሪኛ
bn,am,ቤንጋሊኛ
bs,am,ቦስኒያንኛ
ca,am,ካታላንኛ
cs,am,ቼክኛ
da,am,ዴኒሽ
de,am,ጀርመንኛ
el,am,ግሪክኛ
en-GB,am,እንግሊዝኛ (ዩናይትድ ኪንግደም)
en-IN,am,እንግሊዝኛ (ህንድ)
en,am,እንግሊዝኛ
es,am,ስፓኒሽ
es-419,am,ስፓኒሽ (ላቲን አሜሪካ)
es-US,am,ስፓኒሽ (ዩናይትድ ስቴትስ)
et,am,ኢስቶኒያንኛ
eu,am,ባስክኛ
fa,am,ፐርሺያኛ
fi,am,ፊኒሽ
fil,am,ፊሊፒንኛ
fr-CA,am,ፈረንሳይኛ (ካናዳ)
fr,am,ፈረንሳይኛ
gl,am,ጋሊሽያዊ
gu,am,ጉጃርቲኛ
hi,am,ሒንዱኛ
hr,am,ክሮሽያንኛ
hu,am,ሀንጋሪኛ
hy,am,አርመናዊ
id,am,ኢንዶኔዥያኛ
is,am,አይስላንድኛ
it,am,ጣሊያንኛ
iw,am,ዕብራይስጥ
ja,am,ጃፓንኛ
ka,am,ጆርጂያዊ
kk,am,ካዛክኛ
km,am,ክመር
kn,am,ካናዳ
ko,am,ኮሪያኛ
ky,am,ክይርግይዝ
lo,am,ላኦኛ
lt,am,ሉቴንያንኛ
lv,am,ላትቪያን
mk,am,ሜቄዶንኛ
ml,am,ማላያላም
mn,am,ሞንጎሊያኛ
mr,am,ማራቲ
ms,am,ማላይ
my,am,ቡርማኛ
no,am,ኖርዌጂያን
ne,am,ኔፓሊኛ
nl,am,ደች
or,am,ኦዲያ
pa,am,ፑንጃብኛ
pl,am,ፖሊሽ
pt,am,ፖርቹጋልኛ
pt-PT,am,ፖርቹጋልኛ (ፖርቱጋል)
ro,am,ሮማኒያኛ
ru,am,ራሽያኛ
si,am,ሲንሃላ
sk,am,ስሎቫክኛ
sl,am,ስሎቬንኛ
sq,am,አልባንያንኛ
sr-Latn,am,ሰርብያኛ (ላቲን)
sr,am,ሰርብያኛ
sv,am,ስዊድንኛ
sw,am,ስዋሂሊኛ
ta,am,ታሚል
te,am,ተሉጉ
th,am,ታይ
tr,am,ቱርክኛ
uk,am,ዩክሬንኛ
ur,am,ኡርዱኛ
uz,am,ኡዝቤክኛ
vi,am,ቪየትናምኛ
zh-CN,am,ቻይንኛ (ቻይና)
zh-HK,am,ቻይንኛ (ሆንግ ኮንግ)
zh-TW,am,ቻይንኛ (ታይዋን)
zu,am,ዙሉኛ
af,ar,الأفريقانية
am,ar,الأمهرية
ar,ar,العربية
as,ar,الأسامية
az,ar,الأذربيجانية
be,ar,البيلاروسية
bg,ar,البلغارية
bn,ar,البنغالية
bs,ar,البوسنية
ca,ar,الكتالانية
cs,ar,التشيكية
da,ar,الدانمركية
de,ar,الألمانية
el,ar,اليونانية
en-GB,ar,الإنجليزية (المملكة المتحدة)
en-IN,ar,الإنجليزية (الهند)
en,ar,الإنجليزية
es,ar,الإسبانية
es-419,ar,الإسبانية (أمريكا اللاتينية)
es-US,ar,الإسبانية (الولايات المتحدة)
et,ar,الإستونية
eu,ar,الباسكية
fa,ar,الفارسية
fi,ar,الفنلندية
fil,ar,الفلبينية
fr-CA,ar,الفرنسية (كندا)
fr,ar,الفرنسية
gl,ar,الجاليكية
gu,ar,الغوجاراتية
hi,ar,الهندية
hr,ar,الكرواتية
hu,ar,الهنغارية
hy,ar,الأرمنية
id,ar,الإندونيسية
is,ar,الأيسلندية
it,ar,الإيطالية
iw,ar,العبرية
ja,ar,اليابانية
ka,ar,الجورجية
kk,ar,الكازاخستانية
km,ar,الخميرية
kn,ar,الكانادا
ko,ar,الكورية
ky,ar,القيرغيزية
lo,ar,اللاوية
lt,ar,الليتوانية
lv,ar,اللاتفية
mk,ar,المقدونية
ml,ar,المالايالامية
mn,ar,المنغولية
mr,ar,الماراثية
ms,ar,الماليزية
my,ar,البورمية
no,ar,النرويجية
ne,ar,النيبالية
nl,ar,الهولندية
or,ar,الأورية
pa,ar,البنجابية
pl,ar,البولندية
pt,ar,البرتغالية
pt-PT,ar,البرتغالية (البرتغال)
ro,ar,الرومانية
ru,ar,الروسية
si,ar,السنهالية
sk,ar,السلوفاكية
sl,ar,السلوفانية
sq,ar,الألبانية
sr-Latn,ar,الصربية (اللاتينية)
sr,ar,الصربية
sv,ar,السويدية
sw,ar,السواحلية
ta,ar,التاميلية
te,ar,التيلوغوية
th,ar,التايلاندية
tr,ar,التركية
uk,ar,الأوكرانية
ur,ar,الأوردية
uz,ar,الأوزبكية
vi,ar,الفيتنامية
zh-CN,ar,الصينية (الصين)
zh-HK,ar,الصينية (هونغ كونغ)
zh-TW,ar,الصينية (تايوان)
zu,ar,الزولو
af,as,আফ্ৰিকানছ্
am,as,আমহাৰিক
ar,as,আৰবী
as,as,অসমীয়া
az,as,আজেৰবাইজানী
be,as,বেলাৰুছীয়
bg,as,বুলগেৰীয়
bn,as,বাংলা
bs,as,বছনীয়
ca,as,কাতালান
cs,as,চেক
da,as,ডেনিচ
de,as,জাৰ্মান
el,as,গ্ৰীক
en-GB,as,ইংৰাজী (সংযুক্ত ৰাজ্য)
en-IN,as,ইংৰাজী (ভাৰত)
en,as,ইংৰাজী
es,as,স্পেনিচ
es-419,as,স্পেনিচ (লেটিন আমেৰিকা)
es-US,as,স্পেনিচ (মাৰ্কিন যুক্তৰাষ্ট্ৰ)
et,as,এষ্টোনিয়
eu,as,বাস্ক
fa,as,ফাৰ্ছী
fi,as,ফিনিচ
fil,as,ফিলিপিনো
fr-CA,as,ফ্ৰেন্স (কানাডা)
fr,as,ফ্ৰেন্স
gl,as,গেলিচিয়ান
gu,as,গুজৰাটী
hi,as,হিন্দী
hr,as,ক্ৰোৱেচিয়ান
hu,as,হাঙ্গেৰিয়ান
hy,as,আৰ্মেনীয়
id,as,ইণ্ডোনেচিয়
is,as,আইচলেণ্ডিক
it,as,ইটালিয়ান
iw,as,হিব্ৰু
ja,as,জাপানী
ka,as,জৰ্জিয়ান
kk,as,কাজাখ
km,as,খমেৰ
kn,as,কানাড়া
ko,as,কোৰিয়ান
ky,as,কিৰ্গিজ
lo,as,লাও
lt,as,লিথুৱানিয়ান
lv,as,লাটভিয়ান
mk,as,মেচিডোনীয়
ml,as,মালায়ালম
mn,as,মংগোলীয়
mr,as,মাৰাঠী
ms,as,মালয়
my,as,বাৰ্মীজ
no,as,নৰৱেজিয়ান
ne,as,নেপালী
nl,as,ডাচ
or,as,ওড়িয়া
pa,as,পাঞ্জাবী
pl,as,প’লিচ
pt,as,পৰ্তুগীজ
pt-PT,as,পৰ্তুগীজ (পৰ্তুগাল)
ro,as,ৰোমানীয়
ru,as,ৰাছিয়ান
si,as,সিংহলা
sk,as,শ্লোভাক
sl,as,শ্লোভেনিয়ান
sq,as,আলবেনীয়
sr-Latn,as,ছাৰ্বিয়ান (লেটিন)
sr,as,ছাৰ্বিয়ান
sv,as,ছুইডিচ
sw,as,স্বাহিলি
ta,as,তামিল
te,as,তেলুগু
th,as,থাই
tr,as,তুৰ্কী
uk,as,ইউক্ৰেইনীয়
ur,as,উৰ্দু
uz,as,উজবেক
vi,as,ভিয়েটনামী
zh-CN,as,চীনা (চীন)
zh-HK,as,চীনা (হং কং)
zh-TW,as,চীনা (টাইৱান)
zu,as,ঝুলু
af,az,afrikaans
am,az,amhar
